date,balance,daily_pnl
2024-09-19,4879.85,-238.26
2024-09-20,4626.14,-253.71
2024-09-22,4589.12,-37.02
2024-09-23,4402.75,-186.37
2024-09-24,4200.48,-202.27
2024-09-27,4145.82,-54.66
2024-09-29,4079.29,-66.53
2024-09-30,3914.48,-164.81
2024-10-01,4012.31,97.83
2024-10-02,4608.61,596.3
2024-10-03,5366.17,757.56
2024-10-04,5156.38,-209.79
2024-10-06,4878.22,-278.16
2024-10-07,4733.41,-144.81
2024-10-08,4538.6,-194.81
2024-10-09,4421.39,-117.21
2024-10-11,4473.25,51.86
2024-10-14,4143.21,-330.04
2024-10-15,3926.91,-216.3
2024-10-17,3914.06,-12.85
2024-10-18,4159.68,245.62
2024-10-20,4070.03,-89.65
2024-10-22,4156.6,86.57
2024-10-23,4041.8,-114.8
2024-10-24,4128.86,87.06
2024-10-25,3751.78,-377.08
2024-10-26,3788.46,36.68
2024-10-27,3743.71,-44.75
2024-10-29,3638.74,-104.97
2024-10-30,3612.33,-26.41
2024-11-01,3573.27,-39.06
2024-11-03,4006.13,432.86
2024-11-04,4115.74,109.61
2024-11-05,4015.33,-100.41
2024-11-06,3596.97,-418.36
2024-11-09,3438.61,-158.36
2024-11-10,3433.22,-5.39
2024-11-11,4841.2,1407.98
2024-11-13,4881.03,39.83
2024-11-14,4939.1,58.07
2024-11-16,4995.68,56.58
2024-11-17,4856.68,-139.0
2024-11-18,4911.2,54.52
2024-11-19,4967.57,56.37
2024-11-20,4759.38,-208.19
2024-11-21,4379.29,-380.09
2024-11-23,4445.52,66.23
2024-11-24,4438.51,-7.01
2024-11-25,4170.5,-268.01
2024-11-27,4027.68,-142.82
2024-11-29,3980.1,-47.58
2024-11-30,3917.69,-62.41
2024-12-01,3875.49,-42.2
2024-12-02,3764.32,-111.17
2024-12-04,3800.11,35.79
2024-12-05,3989.81,189.7
2024-12-06,3796.28,-193.53
2024-12-08,3994.35,198.07
2024-12-09,3986.97,-7.38
2024-12-10,3720.75,-266.22
2024-12-11,3592.15,-128.6
2024-12-12,3282.27,-309.88
2024-12-13,3187.04,-95.23
2024-12-14,3252.28,65.24
2024-12-15,3082.77,-169.51
2024-12-16,3054.79,-27.98
2024-12-17,3045.78,-9.01
2024-12-18,2983.68,-62.1
2024-12-19,3284.79,301.11
2024-12-20,3000.78,-284.01
2024-12-23,2928.81,-71.97
2024-12-28,2861.95,-66.86
2024-12-30,2813.9,-48.05
2025-01-02,2667.17,-146.73
2025-01-03,2565.89,-101.28
2025-01-04,2492.35,-73.54
2025-01-06,2331.08,-161.27
2025-01-08,2390.84,59.76
2025-01-09,2229.93,-160.91
2025-01-11,2114.08,-115.85
2025-01-13,2249.0,134.92
2025-01-15,2006.78,-242.22
2025-01-16,2300.7,293.92
2025-01-18,2322.98,22.28
2025-01-19,2837.59,514.61
2025-01-20,2790.54,-47.05
2025-01-21,2851.69,61.15
2025-01-27,2930.66,78.97
2025-01-28,2900.15,-30.51
2025-01-29,2869.02,-31.13
2025-01-30,2746.98,-122.04
2025-02-02,2591.02,-155.96
2025-02-03,3774.33,1183.31
2025-02-08,3659.5,-114.83
2025-02-09,3568.85,-90.65
2025-02-12,3494.13,-74.72
2025-02-14,3448.86,-45.27
2025-02-17,3502.73,53.87
2025-02-18,3149.33,-353.4
2025-02-19,3113.14,-36.19
2025-02-20,3051.38,-61.76
2025-02-22,3018.4,-32.98
2025-02-23,3041.84,23.44
2025-02-24,3709.87,668.03
2025-02-25,4692.68,982.81
2025-02-26,5183.03,490.35
2025-02-28,5007.51,-175.52
2025-03-01,5055.93,48.42
2025-03-02,4708.86,-347.07
2025-03-03,4813.2,104.34
2025-03-04,4607.82,-205.38
2025-03-05,4453.69,-154.13
2025-03-06,4541.36,87.67
2025-03-07,4395.79,-145.57
2025-03-09,4645.23,249.44
2025-03-10,4900.1,254.87
2025-03-11,4269.76,-630.34
2025-03-15,4071.51,-198.25
2025-03-16,3984.05,-87.46
2025-03-19,3904.05,-80.0
2025-03-20,3773.32,-130.73
2025-03-21,3672.33,-100.99
2025-03-22,3529.74,-142.59
2025-03-23,3428.74,-101.0
2025-03-24,3284.49,-144.25
2025-03-25,3149.64,-134.85
2025-03-26,3180.44,30.8
2025-03-27,3249.01,68.57
2025-03-29,3156.25,-92.76
2025-03-31,3141.9,-14.35
2025-04-01,3106.65,-35.25
2025-04-02,3071.78,-34.87
2025-04-03,3006.11,-65.67
2025-04-04,2864.78,-141.33
2025-04-06,2918.18,53.4
2025-04-07,3884.06,965.88
2025-04-08,3803.38,-80.68
2025-04-09,3925.49,122.11
2025-04-12,3849.53,-75.96
2025-04-13,3974.11,124.58
2025-04-15,3894.38,-79.73
2025-04-27,2635.49,-1258.89
2025-04-28,2524.93,-110.56
2025-04-29,2607.06,82.13
2025-04-30,2551.1,-55.96
2025-05-01,2470.69,-80.41
2025-05-04,2378.12,-92.57
2025-05-05,2255.52,-122.6
2025-05-06,2188.36,-67.16
2025-05-08,2079.74,-108.62
2025-05-10,3753.67,1673.93
2025-05-12,3459.55,-294.12
2025-05-13,3322.11,-137.44
2025-05-16,3353.39,31.28
2025-05-18,2710.31,-643.08
2025-05-19,2647.22,-63.09
2025-05-22,2486.37,-160.85
2025-05-23,2442.29,-44.08
2025-05-25,2494.41,52.12
2025-05-27,2507.61,13.2
2025-05-28,2972.7,465.09
2025-05-29,2941.27,-31.43
2025-05-30,3257.15,315.88
2025-05-31,3048.9,-208.25
2025-06-01,2964.33,-84.57
2025-06-05,3110.23,145.9
2025-06-06,2903.48,-206.75
2025-06-08,2778.91,-124.57
2025-06-09,2672.95,-105.96
2025-06-10,2573.1,-99.85
2025-06-11,2652.09,78.99
2025-06-13,3034.25,382.16
2025-06-14,3132.35,98.1
2025-06-16,3136.16,3.81
2025-06-17,2967.45,-168.71
2025-06-21,4741.14,1773.69
2025-06-22,4737.73,-3.41
2025-06-23,4626.68,-111.05
2025-06-24,4274.38,-352.3
2025-06-25,4315.83,41.45
2025-06-27,4364.06,48.23
2025-06-29,3994.13,-369.93
2025-06-30,4212.58,218.45
2025-07-01,4125.3,-87.28
2025-07-02,3778.1,-347.2
2025-07-03,3441.89,-336.21
2025-07-04,3592.85,150.96
2025-07-07,3436.11,-156.74
2025-07-08,3256.7,-179.41
2025-07-09,3316.6,59.9
2025-07-10,4294.61,978.01
