session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-08-11,1754946000000,2025-08-11 17:00,daily_low,3.1511,1754947200000,2025-08-11 17:20,20.0,3.1619,3.1633,0.0443,0.017600000000000282,0.5585,2295089.5,5.0635,3.1217,-1.3151,0.0355,1.1266
2025-08-13,1755118800000,2025-08-13 17:00,daily_high,3.306,1755133200000,2025-08-13 21:00,240.0,3.264,3.2911,0.8303,0.02400000000000002,0.726,11720377.3,4.1961,3.3323,1.2519,0.0282,0.853
2025-08-14,1755205200000,2025-08-14 17:00,daily_low,3.2012,1755205200000,2025-08-14 17:00,0.0,3.0632,3.0632,0.0,0.013799999999999812,0.4311,2472225.5,0.0,3.0485,-0.4799,0.1734,5.4167
2025-08-22,1755896400000,2025-08-22 17:00,daily_high,2.94,1755896400000,2025-08-22 17:00,0.0,3.0922,3.0922,0.0,0.00649999999999995,0.2211,4159991.4,0.0,3.0837,-0.2749,0.166,5.6463
2025-08-25,1756155600000,2025-08-25 17:00,daily_low,2.972,1756155600000,2025-08-25 17:00,0.0,2.8314,2.8314,0.0,0.026200000000000223,0.8816,12417029.7,0.0,2.8514,0.7064,0.1437,4.8351
2025-08-26,1756242000000,2025-08-26 17:00,daily_high,3.0256,1756242000000,2025-08-26 17:00,0.0,3.026,3.026,0.0,0.01670000000000016,0.552,4336564.7,0.0,3.0219,-0.1355,0.009,0.2975
2025-08-28,1756414800000,2025-08-28 17:00,daily_low,2.9519,1756414800000,2025-08-28 17:00,0.0,2.9489,2.9489,0.0,0.0036000000000000476,0.122,1129316.8,0.0,2.9625,0.4612,0.0063,0.2134
2025-09-02,1756846800000,2025-09-02 17:00,daily_high,2.8381,1756846800000,2025-09-02 17:00,0.0,2.84,2.84,0.0,0.0036000000000000476,0.1268,689379.7,0.0,2.8361,-0.1373,0.0098,0.3453
2025-09-04,1757019600000,2025-09-04 17:00,daily_low,2.8091,1757019600000,2025-09-04 17:00,0.0,2.801,2.801,0.0,0.0032000000000000917,0.1139,721712.8,0.0,2.81,0.3213,0.0101,0.3595
2025-09-15,1757970000000,2025-09-15 17:00,daily_low,3.0082,1757970000000,2025-09-15 17:00,0.0,2.9928,2.9928,0.0,0.005499999999999616,0.1828,641146.4,0.0,2.996,0.1069,0.0196,0.6516
2025-09-17,1758142800000,2025-09-17 17:00,daily_high,3.0577,1758147600000,2025-09-17 18:20,80.0,3.0052,3.0544,1.6372,0.00890000000000013,0.2911,4040502.6,1.5713,3.0847,0.992,0.0491,1.6058
2025-09-19,1758315600000,2025-09-19 17:00,daily_low,3.0434,1758315600000,2025-09-19 17:00,0.0,2.9829,2.9829,0.0,0.0047999999999999154,0.1577,1924918.4,0.0,2.998,0.5062,0.0668,2.1949
2025-09-22,1758574800000,2025-09-22 17:00,daily_low,2.8752,1758574800000,2025-09-22 17:00,0.0,2.8371,2.8371,0.0,0.006600000000000161,0.2295,779325.6,0.0,2.8516,0.5111,0.0471,1.6381
2025-09-24,1758747600000,2025-09-24 17:00,daily_high,2.8959,1758747600000,2025-09-24 17:00,0.0,2.9623,2.9623,0.0,0.007299999999999862,0.2521,1598996.7,0.0,2.9525,-0.3308,0.0789,2.7245
