symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,14.0,2023-10-02T04:00:00+00:00,2023-10-02T07:40:00+00:00,3454,-1,28114.9,28365.2,250.29999999999927,24610.70000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0336974430683181,-1.0336974430683181,SL,45
BTCUSDT,14.0,2023-10-11T16:00:00+00:00,2023-10-11T16:10:00+00:00,3511,1,26769.2,26700.0,69.20000000000073,27738.00000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.116051445086704,-1.116051445086704,SL,3
BTCUSDT,14.0,2023-10-12T04:00:00+00:00,2023-10-15T23:00:00+00:00,3514,1,26836.0,26525.0,311.0,31190.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,13.974113183279743,0.674113183279745,BE,1093
BTCUSDT,14.0,2023-10-20T04:00:00+00:00,2023-10-20T07:45:00+00:00,3562,-1,29222.9,29400.0,177.09999999999854,26743.500000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0495023715415024,-1.0495023715415024,SL,46
BTCUSDT,14.0,2023-10-21T08:00:00+00:00,2023-10-21T09:50:00+00:00,3569,-1,29681.1,29784.5,103.40000000000146,28233.499999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0861153771760141,-1.0861153771760141,SL,23
BTCUSDT,14.0,2023-10-23T04:00:00+00:00,2023-10-23T04:00:00+00:00,3580,-1,30723.9,30818.0,94.09999999999854,29406.500000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0979507970244435,-1.0979507970244435,SL,1
BTCUSDT,14.0,2023-12-04T04:00:00+00:00,2023-12-04T04:55:00+00:00,3832,-1,40720.6,40915.3,194.70000000000437,37994.79999999994,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0627436055469939,-1.0627436055469939,SL,12
BTCUSDT,14.0,2023-12-05T12:00:00+00:00,2023-12-05T13:10:00+00:00,3840,-1,41730.9,41993.1,262.1999999999971,38060.10000000004,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0477470251716252,-1.0477470251716252,SL,15
BTCUSDT,14.0,2024-01-13T00:00:00+00:00,2024-01-18T18:10:00+00:00,4071,1,42789.0,41370.0,1419.0,62655.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0090463002114165,-1.0090463002114165,SL,1659
BTCUSDT,14.0,2024-01-18T20:00:00+00:00,2024-01-18T20:30:00+00:00,4106,1,41014.2,40805.2,209.0,43940.2,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.058872057416268,-1.058872057416268,SL,7
BTCUSDT,14.0,2024-01-19T16:00:00+00:00,2024-01-19T16:20:00+00:00,4111,1,40897.1,40718.5,178.59999999999854,43397.49999999998,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0686961366181416,-1.0686961366181416,SL,5
BTCUSDT,14.0,2024-01-22T12:00:00+00:00,2024-01-22T15:20:00+00:00,4128,1,40809.5,40353.7,455.8000000000029,47190.70000000004,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.026860136024572,-1.026860136024572,SL,41
BTCUSDT,14.0,2024-02-09T04:00:00+00:00,2024-02-09T08:20:00+00:00,4234,-1,46046.5,46444.0,397.5,40481.5,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0347520754716981,-1.0347520754716981,SL,53
BTCUSDT,14.0,2024-02-12T08:00:00+00:00,2024-02-12T15:00:00+00:00,4253,-1,48213.0,48846.0,633.0,39351.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0228497630331754,-1.0228497630331754,SL,85
BTCUSDT,14.0,2024-02-12T16:00:00+00:00,2024-02-12T16:00:00+00:00,4255,-1,49925.5,49965.3,39.80000000000291,49368.29999999996,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.3763228643215806,-1.3763228643215806,SL,1
BTCUSDT,14.0,2024-02-14T12:00:00+00:00,2024-02-14T12:00:00+00:00,4266,-1,51601.1,51829.1,228.0,48409.1,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0678961842105263,-1.0678961842105263,SL,1
BTCUSDT,14.0,2024-02-15T12:00:00+00:00,2024-02-15T12:15:00+00:00,4272,-1,52359.0,52568.3,209.3000000000029,49428.79999999996,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0750487338748198,0.6249512661251801,BE,4
BTCUSDT,14.0,2024-02-27T04:00:00+00:00,2024-02-28T07:35:00+00:00,4342,-1,55773.1,57780.0,2006.9000000000015,27676.499999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0083372016542926,-1.0083372016542926,SL,332
