exit_ts,symbol,pnl_r,reason,pnl_usd,equity
2025-08-23 00:00:00+00:00,LINKUSDT,2.988168069666183,BE,156115.54,2245898.07
2025-08-23 00:00:00+00:00,SOLUSDT,-1.0775207792207782,SL,-60500.05,2185398.02
2025-08-26 12:00:00+00:00,BTCUSDT,0.9739627548601235,BE,53212.41,2238610.43
2025-08-27 20:00:00+00:00,SOLUSDT,5.923679268292682,BE,331520.25,2570130.68
2025-08-28 12:00:00+00:00,SOLUSDT,-1.193663636363629,SL,-76696.79,2493433.89
2025-08-29 04:00:00+00:00,SOLUSDT,-1.0250155642023346,SL,-63895.21,2429538.68
2025-09-01 08:00:00+00:00,XRPUSDT,5.948932919254659,BE,361329.07,2790867.74
2025-09-03 20:00:00+00:00,BTCUSDT,2.8885743377483446,BE,201540.72,2992408.47
2025-09-05 12:00:00+00:00,BTCUSDT,-1.6912244897959183,SL,-126520.86,2865887.61
2025-09-07 20:00:00+00:00,DOGEUSDT,-1.045014093959731,SL,-74872.32,2791015.28
2025-09-08 04:00:00+00:00,DOGEUSDT,-1.1345117647058869,SL,-79160.99,2711854.29
