symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_tp_only,delta_vs_stage1,win_pct,max_dd_r,avg_hold_h
LINKUSDT,5.0,0.5,1.0,2.5,2.5,26.4985,-11.5,6.5,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,2.5,3.0,29.9985,-8.0,10.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,1.5,34.9985,-22.0214,-1.0,37.88,9.5994,50.91
LINKUSDT,8.0,0.5,1.0,1.25,2.0,34.9985,-22.0214,-1.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,2.5,41.4985,-15.5214,5.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,47.9985,-9.0214,12.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.5,1.5,34.9985,-22.0214,-1.0,37.88,9.5994,50.91
LINKUSDT,8.0,0.5,1.0,1.5,2.0,34.9985,-22.0214,-1.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.5,2.5,41.4985,-15.5214,5.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.5,3.0,47.9985,-9.0214,12.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.75,1.5,34.4985,-22.5214,-1.5,37.88,9.5994,50.91
LINKUSDT,8.0,0.5,1.0,1.75,2.0,33.9985,-23.0214,-2.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.75,2.5,39.9985,-17.0214,4.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.75,3.0,45.9985,-11.0214,10.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,2.0,1.5,33.4985,-23.5214,-2.5,37.88,9.5994,50.91
LINKUSDT,8.0,0.5,1.0,2.0,2.0,31.9985,-25.0214,-4.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,2.0,2.5,36.9985,-20.0214,1.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,2.0,3.0,41.9985,-15.0214,6.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,2.5,1.5,33.4985,-23.5214,-2.5,37.88,9.5994,50.91
LINKUSDT,8.0,0.5,1.0,2.5,2.0,31.9985,-25.0214,-4.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,2.5,2.5,36.9985,-20.0214,1.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,2.5,3.0,41.9985,-15.0214,6.0,37.88,9.5994,50.79
DOGEUSDT,3.0,0.5,1.0,1.25,1.5,-8.6547,-3.0,-1.0,29.31,18.6541,57.93
DOGEUSDT,3.0,0.5,1.0,1.25,2.0,-7.6547,-2.0,0.0,29.31,18.1541,57.93
DOGEUSDT,3.0,0.5,1.0,1.25,2.5,-6.6547,-1.0,1.0,29.31,17.6541,57.93
DOGEUSDT,3.0,0.5,1.0,1.25,3.0,-5.6547,-0.0,2.0,29.31,17.1541,57.93
DOGEUSDT,3.0,0.5,1.0,1.5,1.5,-8.6547,-3.0,-1.0,29.31,18.6541,57.93
DOGEUSDT,3.0,0.5,1.0,1.5,2.0,-7.6547,-2.0,0.0,29.31,18.1541,57.93
